,symbol
11,BTCUSDT
12,ETHUSDT
98,BNBUSDT
125,BCCUSDT
141,NEOUSDT
190,LTCUSDT
279,QTUMUSDT
296,ADAUSDT
306,XRPUSDT
323,EOSUSDT
332,TUSDUSDT
333,IOTAUSDT
334,XLMUSDT
348,ONTUSDT
350,TRXUSDT
351,ETCUSDT
353,ICXUSDT
358,VENUSDT
372,NULSUSDT
377,VETUSDT
392,PAXUSDT
402,BCHABCUSDT
403,BCHSVUSDT
422,USDCUSDT
431,LINKUSDT
435,WAVESUSDT
452,BTTUSDT
455,USDSUSDT
464,ONGUSDT
466,HOTUSDT
467,ZILUSDT
469,ZRXUSDT
472,FETUSDT
473,BATUSDT
475,XMRUSDT
477,ZECUSDT
481,IOSTUSDT
484,CELRUSDT
490,DASHUSDT
491,NANOUSDT
493,OMGUSDT
494,THETAUSDT
495,ENJUSDT
496,MITHUSDT
499,MATICUSDT
502,ATOMUSDT
519,TFUELUSDT
525,ONEUSDT
531,FTMUSDT
541,ALGOUSDT
545,USDSBUSDT
547,GTOUSDT
553,ERDUSDT
558,DOGEUSDT
563,DUSKUSDT
569,ANKRUSDT
577,WINUSDT
581,COSUSDT
583,NPXSUSDT
587,COCOSUSDT
588,MTLUSDT
591,TOMOUSDT
596,PERLUSDT
597,DENTUSDT
598,MFTUSDT
599,KEYUSDT
600,STORMUSDT
601,DOCKUSDT
602,WANUSDT
603,FUNUSDT
604,CVCUSDT
609,CHZUSDT
612,BANDUSDT
615,BUSDUSDT
618,BEAMUSDT
621,XTZUSDT
622,RENUSDT
623,RVNUSDT
624,HCUSDT
627,HBARUSDT
630,NKNUSDT
639,STXUSDT
642,KAVAUSDT
648,ARPAUSDT
651,IOTXUSDT
652,RLCUSDT
653,MCOUSDT
658,CTXCUSDT
661,BCHUSDT
672,TROYUSDT
678,VITEUSDT
681,FTTUSDT
684,BUSDTRY
687,USDTTRY
688,USDTRUB
694,EURUSDT
697,OGNUSDT
700,DREPUSDT
701,BULLUSDT
703,BEARUSDT
705,ETHBULLUSDT
